DATETIME,temperature,humidity,wind_speed,rain,Hour,MonthNumb,Day of week,TOTALDEMAND,FORECASTDEMAND,PERIODID,24hrpreverror,48hrpreverror,7daypreverror,14daypreverror
07-10-17 23:00,14.18,81.16,0.69,0,23,10,7,6818.470215,6898.41,36,0,0,0,0
08-10-17 0:00,14.42,79.97,0.81,0,0,10,1,6577.709961,6681.8,36,0,0,0,0
08-10-17 1:00,14.42,80,0.95,0,1,10,1,6337.240234,6417.31,36,0,0,0,0
08-10-17 2:00,14.04,82.03,0.94,0,2,10,1,5884.890137,5944.57,36,0,0,0,0
08-10-17 3:00,13.51,84.84,0.85,0,3,10,1,5669.97998,5745.97,36,0,0,0,0
08-10-17 4:00,13.18,86.7,0.76,0,4,10,1,5610.759766,5774.96,36,0,0,0,0
08-10-17 7:00,15.02,77,1.21,0,7,10,1,6418.850098,6622.65,36,0,0,0,0
08-10-17 8:00,17.01,67.19,1.92,0,8,10,1,6765.759766,6847.42,36,0,0,0,0
08-10-17 9:00,19.21,56.79,2.79,0,9,10,1,7025.470215,7120.58,36,0,0,0,0
08-10-17 10:00,21.32,47.9,3.54,0,10,10,1,7073.459961,6994.49,36,0,0,0,0
08-10-17 11:00,22.29,48.07,3.55,0,11,10,1,6954.919922,6836.52,36,0,0,0,0
08-10-17 12:00,23.06,47.11,3.85,0,12,10,1,6963.490234,6680.48,36,0,0,0,0
08-10-17 13:00,23.07,49.3,4.07,0,13,10,1,6939.970215,6567.16,36,0,0,0,0
08-10-17 14:00,22.33,54.04,4.24,0,14,10,1,6991.069824,6496.21,36,0,0,0,0
08-10-17 15:00,21.13,60.52,4.35,0,15,10,1,7174.97998,6598.79,36,0,0,0,0
08-10-17 16:00,19.82,67.92,4.35,0,16,10,1,7286.700195,6829.53,36,0,0,0,0
08-10-17 17:00,20.44,65.29,4.62,0,17,10,1,7572.649902,7197.5,36,0,0,0,0
08-10-17 18:00,19.39,71.91,4.45,0,18,10,1,7821.189941,7537.23,36,0,0,0,0
08-10-17 19:00,18.53,77.9,3.98,0,19,10,1,7848.540039,7978.98,36,0,0,0,0
08-10-17 20:00,17.97,82.6,3.21,0,20,10,1,7524.52002,7678.03,36,0,0,0,0
08-10-17 21:00,17.61,86.13,2.39,0,21,10,1,7147.350098,7336.63,36,0,0,0,0
08-10-17 22:00,17.34,88.8,1.8,0,22,10,1,6943.209961,7088.09,36,0,0,0,0
